"INDICATOR","HFAMDB_113"

"HFAMDB_113","All causes, per 100 000 population, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"SUBNATIONAL_MDB","Subnational country codes for HFA-MDB"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","SUBNATIONAL_MDB","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","","1987","775.63"
"ALB","","TOTAL","FEMALE","","1988","759.02"
"ALB","","TOTAL","FEMALE","","1989","772.18"
"ALB","","TOTAL","FEMALE","","1992","661.36"
"ALB","","TOTAL","FEMALE","","1993","638.14"
"ALB","","TOTAL","FEMALE","","1994","546.76"
"ALB","","TOTAL","FEMALE","","1995","618.44"
"ALB","","TOTAL","FEMALE","","1996","641.39"
"ALB","","TOTAL","FEMALE","","1997","566.47"
"ALB","","TOTAL","FEMALE","","1998","630.76"
"ALB","","TOTAL","FEMALE","","1999","589.33"
"ALB","","TOTAL","FEMALE","","2000","721.25"
"ALB","","TOTAL","FEMALE","","2001","543.82"
"ALB","","TOTAL","FEMALE","","2002","610.19"
"ALB","","TOTAL","FEMALE","","2003","680.92"
"ALB","","TOTAL","FEMALE","","2004","653.07"
"ALB","","TOTAL","FEMALE","","2005","610.91"
"ALB","","TOTAL","FEMALE","","2006","577.56"
"ALB","","TOTAL","FEMALE","","2007","473.23"
"ALB","","TOTAL","FEMALE","","2008","510.32"
"ALB","","TOTAL","FEMALE","","2009","497.05"
"ARM","","TOTAL","FEMALE","","1981","683.32"
"ARM","","TOTAL","FEMALE","","1982","720.21"
"ARM","","TOTAL","FEMALE","","1985","795.26"
"ARM","","TOTAL","FEMALE","","1986","773.67"
"ARM","","TOTAL","FEMALE","","1987","783.56"
"ARM","","TOTAL","FEMALE","","1988","1358.07"
"ARM","","TOTAL","FEMALE","","1989","827"
"ARM","","TOTAL","FEMALE","","1990","815.78"
"ARM","","TOTAL","FEMALE","","1991","794.62"
"ARM","","TOTAL","FEMALE","","1992","856.71"
"ARM","","TOTAL","FEMALE","","1993","903.08"
"ARM","","TOTAL","FEMALE","","1994","777.06"
"ARM","","TOTAL","FEMALE","","1995","800.03"
"ARM","","TOTAL","FEMALE","","1996","802.21"
