"INDICATOR","HFAMDB_275"

"HFAMDB_275","Diseases of the circulatory system, per 100 000 population, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"SUBNATIONAL_MDB","Subnational country codes for HFA-MDB"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","SUBNATIONAL_MDB","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","","1987","370.82"
"ALB","","TOTAL","FEMALE","","1988","373.28"
"ALB","","TOTAL","FEMALE","","1989","364.66"
"ALB","","TOTAL","FEMALE","","1992","308.02"
"ALB","","TOTAL","FEMALE","","1993","275.04"
"ALB","","TOTAL","FEMALE","","1994","245.09"
"ALB","","TOTAL","FEMALE","","1995","314.68"
"ALB","","TOTAL","FEMALE","","1996","331.83"
"ALB","","TOTAL","FEMALE","","1997","294.46"
"ALB","","TOTAL","FEMALE","","1998","343.27"
"ALB","","TOTAL","FEMALE","","1999","316.35"
"ALB","","TOTAL","FEMALE","","2000","394.21"
"ALB","","TOTAL","FEMALE","","2001","297.8"
"ALB","","TOTAL","FEMALE","","2002","332.02"
"ALB","","TOTAL","FEMALE","","2003","369.12"
"ALB","","TOTAL","FEMALE","","2004","354.76"
"ALB","","TOTAL","FEMALE","","2005","332.81"
"ALB","","TOTAL","FEMALE","","2006","323.97"
"ALB","","TOTAL","FEMALE","","2007","274.31"
"ALB","","TOTAL","FEMALE","","2008","318.34"
"ALB","","TOTAL","FEMALE","","2009","312.29"
"ARM","","TOTAL","FEMALE","","1981","383.37"
"ARM","","TOTAL","FEMALE","","1982","434.69"
"ARM","","TOTAL","FEMALE","","1985","472.16"
"ARM","","TOTAL","FEMALE","","1986","459.9"
"ARM","","TOTAL","FEMALE","","1987","468.49"
"ARM","","TOTAL","FEMALE","","1988","466.42"
"ARM","","TOTAL","FEMALE","","1989","503.64"
"ARM","","TOTAL","FEMALE","","1990","489.43"
"ARM","","TOTAL","FEMALE","","1991","485.97"
"ARM","","TOTAL","FEMALE","","1992","526.1"
"ARM","","TOTAL","FEMALE","","1993","559.67"
"ARM","","TOTAL","FEMALE","","1994","479.43"
"ARM","","TOTAL","FEMALE","","1995","489.81"
"ARM","","TOTAL","FEMALE","","1996","482.7"
"ARM","","TOTAL","FEMALE","","1997","444.79"
"ARM","","TOTAL","FEMALE","","1998","414.28"
"ARM","","TOTAL","FEMALE","","1999","431"
"ARM","","TOTAL","FEMALE","","2000","396.33"
"ARM","","TOTAL","FEMALE","","2001","389.03"
"ARM","","TOTAL","FEMALE","","2002","537.06"
"ARM","","TOTAL","FEMALE","","2003","536.04"
"ARM","","TOTAL","FEMALE","","2008","463.12"
"ARM","","TOTAL","FEMALE","","2012","356.53"
"ARM","","TOTAL","FEMALE","","2013","343.92"
"ARM","","TOTAL","FEMALE","","2014","349.89"
"ARM","","TOTAL","FEMALE","","2015","332.21"
"ARM","","TOTAL","FEMALE","","2016","345.48"
"ARM","","TOTAL","FEMALE","","2017","380.15"
"ARM","","TOTAL","FEMALE","","2018","351.48"
"ARM","","TOTAL","FEMALE","","2019","342.06"
"ARM","","TOTAL","FEMALE","","2022","328.97"
"AUT","","TOTAL","FEMALE","","1969","483.01"
"AUT","","TOTAL","FEMALE","","1970","476.58"
"AUT","","TOTAL","FEMALE","","1971","484.36"
"AUT","","TOTAL","FEMALE","","1972","468.53"
"AUT","","TOTAL","FEMALE","","1973","444.37"
"AUT","","TOTAL","FEMALE","","1974","442.65"
"AUT","","TOTAL","FEMALE","","1975","453.95"
"AUT","","TOTAL","FEMALE","","1976","456.6"
"AUT","","TOTAL","FEMALE","","1977","437.1"
"AUT","","TOTAL","FEMALE","","1978","447.28"
"AUT","","TOTAL","FEMALE","","1979","420.93"
"AUT","","TOTAL","FEMALE","","1980","434.2"
"AUT","","TOTAL","FEMALE","","1981","422.38"
"AUT","","TOTAL","FEMALE","","1982","410.62"
"AUT","","TOTAL","FEMALE","","1983","420.88"
"AUT","","TOTAL","FEMALE","","1984","388.65"
"AUT","","TOTAL","FEMALE","","1985","391.44"
"AUT","","TOTAL","FEMALE","","1986","379.21"
"AUT","","TOTAL","FEMALE","","1987","357.62"
"AUT","","TOTAL","FEMALE","","1988","345.55"
"AUT","","TOTAL","FEMALE","","1989","334.19"
"AUT","","TOTAL","FEMALE","","1990","323.36"
"AUT","","TOTAL","FEMALE","","1991","333.98"
"AUT","","TOTAL","FEMALE","","1992","324.5"
"AUT","","TOTAL","FEMALE","","1993","320.69"
"AUT","","TOTAL","FEMALE","","1994","307.12"
"AUT","","TOTAL","FEMALE","","1995","305.26"
"AUT","","TOTAL","FEMALE","","1996","306.57"
"AUT","","TOTAL","FEMALE","","1997","291.35"
"AUT","","TOTAL","FEMALE","","1998","287.77"
"AUT","","TOTAL","FEMALE","","1999","285.32"
"AUT","","TOTAL","FEMALE","","2000","265.46"
"AUT","","TOTAL","FEMALE","","2001","252.73"
"AUT","","TOTAL","FEMALE","","2002","241.78"
"AUT","","TOTAL","FEMALE","","2003","232.66"
"AUT","","TOTAL","FEMALE","","2004","210.95"
"AUT","","TOTAL","FEMALE","","2005","204.15"
"AUT","","TOTAL","FEMALE","","2006","193.56"
"AUT","","TOTAL","FEMALE","","2007","186.33"
