"INDICATOR","HFAMDB_307"

"HFAMDB_307","Diseases of the respiratory system, per 100 000 population, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"SUBNATIONAL_MDB","Subnational country codes for HFA-MDB"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","SUBNATIONAL_MDB","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","","1987","92.52"
"ALB","","TOTAL","FEMALE","","1988","84.82"
"ALB","","TOTAL","FEMALE","","1989","103.43"
"ALB","","TOTAL","FEMALE","","1992","78.68"
"ALB","","TOTAL","FEMALE","","1993","86.71"
"ALB","","TOTAL","FEMALE","","1994","62.3"
"ALB","","TOTAL","FEMALE","","1995","68.16"
"ALB","","TOTAL","FEMALE","","1996","63.27"
"ALB","","TOTAL","FEMALE","","1997","46.84"
"ALB","","TOTAL","FEMALE","","1998","46.2"
"ALB","","TOTAL","FEMALE","","1999","39.69"
"ALB","","TOTAL","FEMALE","","2000","50.07"
"ALB","","TOTAL","FEMALE","","2001","27.85"
"ALB","","TOTAL","FEMALE","","2002","32.81"
"ALB","","TOTAL","FEMALE","","2003","37.23"
"ALB","","TOTAL","FEMALE","","2004","32.4"
"ALB","","TOTAL","FEMALE","","2005","27.66"
"ALB","","TOTAL","FEMALE","","2006","18.83"
"ALB","","TOTAL","FEMALE","","2007","16.24"
"ALB","","TOTAL","FEMALE","","2008","13.34"
"ALB","","TOTAL","FEMALE","","2009","14.69"
"ARM","","TOTAL","FEMALE","","1981","83.85"
"ARM","","TOTAL","FEMALE","","1982","73.71"
"ARM","","TOTAL","FEMALE","","1985","80.24"
"ARM","","TOTAL","FEMALE","","1986","84.39"
"ARM","","TOTAL","FEMALE","","1987","70.31"
"ARM","","TOTAL","FEMALE","","1988","64.54"
"ARM","","TOTAL","FEMALE","","1989","57.47"
"ARM","","TOTAL","FEMALE","","1990","49.06"
"ARM","","TOTAL","FEMALE","","1991","38.22"
"ARM","","TOTAL","FEMALE","","1992","40.17"
"ARM","","TOTAL","FEMALE","","1993","48.68"
"ARM","","TOTAL","FEMALE","","1994","40.29"
"ARM","","TOTAL","FEMALE","","1995","40.78"
"ARM","","TOTAL","FEMALE","","1996","43.02"
"ARM","","TOTAL","FEMALE","","1997","35.89"
"ARM","","TOTAL","FEMALE","","1998","29.95"
"ARM","","TOTAL","FEMALE","","1999","36.91"
"ARM","","TOTAL","FEMALE","","2000","29.37"
"ARM","","TOTAL","FEMALE","","2001","26.5"
"ARM","","TOTAL","FEMALE","","2002","37.16"
"ARM","","TOTAL","FEMALE","","2003","38.33"
"ARM","","TOTAL","FEMALE","","2008","57.56"
"ARM","","TOTAL","FEMALE","","2012","40.78"
"ARM","","TOTAL","FEMALE","","2013","40.26"
"ARM","","TOTAL","FEMALE","","2014","45.53"
"ARM","","TOTAL","FEMALE","","2015","55.86"
"ARM","","TOTAL","FEMALE","","2016","53.99"
"ARM","","TOTAL","FEMALE","","2017","41.66"
"ARM","","TOTAL","FEMALE","","2018","48.52"
"ARM","","TOTAL","FEMALE","","2019","55.44"
"ARM","","TOTAL","FEMALE","","2022","52.52"
"AUT","","TOTAL","FEMALE","","1969","77.77"
"AUT","","TOTAL","FEMALE","","1970","72.41"
"AUT","","TOTAL","FEMALE","","1971","57.91"
"AUT","","TOTAL","FEMALE","","1972","42.42"
"AUT","","TOTAL","FEMALE","","1973","46.89"
"AUT","","TOTAL","FEMALE","","1974","45.18"
"AUT","","TOTAL","FEMALE","","1975","59.16"
"AUT","","TOTAL","FEMALE","","1976","52.87"
"AUT","","TOTAL","FEMALE","","1977","36.81"
"AUT","","TOTAL","FEMALE","","1978","43.28"
"AUT","","TOTAL","FEMALE","","1979","35.87"
"AUT","","TOTAL","FEMALE","","1980","37.14"
"AUT","","TOTAL","FEMALE","","1981","38.38"
"AUT","","TOTAL","FEMALE","","1982","34.92"
"AUT","","TOTAL","FEMALE","","1983","36.91"
"AUT","","TOTAL","FEMALE","","1984","30.16"
"AUT","","TOTAL","FEMALE","","1985","32.96"
"AUT","","TOTAL","FEMALE","","1986","29.08"
"AUT","","TOTAL","FEMALE","","1987","27.21"
"AUT","","TOTAL","FEMALE","","1988","23.98"
"AUT","","TOTAL","FEMALE","","1989","25.55"
"AUT","","TOTAL","FEMALE","","1990","26.85"
"AUT","","TOTAL","FEMALE","","1991","24.61"
"AUT","","TOTAL","FEMALE","","1992","23.85"
"AUT","","TOTAL","FEMALE","","1993","23.61"
"AUT","","TOTAL","FEMALE","","1994","22.04"
"AUT","","TOTAL","FEMALE","","1995","20.05"
"AUT","","TOTAL","FEMALE","","1996","20.62"
"AUT","","TOTAL","FEMALE","","1997","20.93"
"AUT","","TOTAL","FEMALE","","1998","20.44"
"AUT","","TOTAL","FEMALE","","1999","23.51"
"AUT","","TOTAL","FEMALE","","2000","24.17"
"AUT","","TOTAL","FEMALE","","2001","22.72"
"AUT","","TOTAL","FEMALE","","2002","22.98"
"AUT","","TOTAL","FEMALE","","2003","29.4"
"AUT","","TOTAL","FEMALE","","2004","24.67"
