"INDICATOR","HFAMDB_618"

"HFAMDB_618","Malignant neoplasm of trachea, bronchus and lung, per 100 000 population, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"SUBNATIONAL_MDB","Subnational country codes for HFA-MDB"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","SUBNATIONAL_MDB","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","","1987","7.61"
"ALB","","TOTAL","FEMALE","","1988","9.11"
"ALB","","TOTAL","FEMALE","","1989","5.76"
"ALB","","TOTAL","FEMALE","","1992","7.32"
"ALB","","TOTAL","FEMALE","","1993","6.99"
"ALB","","TOTAL","FEMALE","","1994","7.22"
"ALB","","TOTAL","FEMALE","","1995","8.14"
"ALB","","TOTAL","FEMALE","","1996","10.71"
"ALB","","TOTAL","FEMALE","","1997","10.74"
"ALB","","TOTAL","FEMALE","","1998","11.08"
"ALB","","TOTAL","FEMALE","","1999","10.9"
"ALB","","TOTAL","FEMALE","","2000","11.03"
"ALB","","TOTAL","FEMALE","","2001","8.74"
"ALB","","TOTAL","FEMALE","","2002","12.09"
"ALB","","TOTAL","FEMALE","","2003","12.38"
"ALB","","TOTAL","FEMALE","","2004","11.71"
"ALB","","TOTAL","FEMALE","","2005","8.22"
"ALB","","TOTAL","FEMALE","","2006","9.31"
"ALB","","TOTAL","FEMALE","","2007","7"
"ALB","","TOTAL","FEMALE","","2008","8.49"
"ALB","","TOTAL","FEMALE","","2009","8.85"
"ARM","","TOTAL","FEMALE","","1981","5.89"
"ARM","","TOTAL","FEMALE","","1982","7.09"
"ARM","","TOTAL","FEMALE","","1985","7.97"
"ARM","","TOTAL","FEMALE","","1986","9.23"
"ARM","","TOTAL","FEMALE","","1987","8.16"
"ARM","","TOTAL","FEMALE","","1988","9.18"
"ARM","","TOTAL","FEMALE","","1989","8.79"
"ARM","","TOTAL","FEMALE","","1990","9.35"
"ARM","","TOTAL","FEMALE","","1991","7.72"
"ARM","","TOTAL","FEMALE","","1992","9.67"
"ARM","","TOTAL","FEMALE","","1993","8.49"
"ARM","","TOTAL","FEMALE","","1994","7.72"
"ARM","","TOTAL","FEMALE","","1995","5.6"
"ARM","","TOTAL","FEMALE","","1996","5.75"
"ARM","","TOTAL","FEMALE","","1997","6.07"
"ARM","","TOTAL","FEMALE","","1998","6.98"
"ARM","","TOTAL","FEMALE","","1999","6.35"
"ARM","","TOTAL","FEMALE","","2000","7.81"
"ARM","","TOTAL","FEMALE","","2001","7.6"
"ARM","","TOTAL","FEMALE","","2002","8.63"
"ARM","","TOTAL","FEMALE","","2003","8.48"
"ARM","","TOTAL","FEMALE","","2008","13.44"
"ARM","","TOTAL","FEMALE","","2012","11.73"
"ARM","","TOTAL","FEMALE","","2013","10.77"
"ARM","","TOTAL","FEMALE","","2014","10.58"
"ARM","","TOTAL","FEMALE","","2015","12.14"
"ARM","","TOTAL","FEMALE","","2016","10.07"
"ARM","","TOTAL","FEMALE","","2017","11.96"
"ARM","","TOTAL","FEMALE","","2018","9.56"
"ARM","","TOTAL","FEMALE","","2019","12.2"
"ARM","","TOTAL","FEMALE","","2022","10.35"
"AUT","","TOTAL","FEMALE","","1969","9.28"
"AUT","","TOTAL","FEMALE","","1970","8.6"
"AUT","","TOTAL","FEMALE","","1971","9.7"
"AUT","","TOTAL","FEMALE","","1972","9.35"
"AUT","","TOTAL","FEMALE","","1973","9.66"
"AUT","","TOTAL","FEMALE","","1974","10.27"
"AUT","","TOTAL","FEMALE","","1975","10.05"
"AUT","","TOTAL","FEMALE","","1976","9.7"
"AUT","","TOTAL","FEMALE","","1977","10.04"
"AUT","","TOTAL","FEMALE","","1978","10.53"
"AUT","","TOTAL","FEMALE","","1979","10.6"
"AUT","","TOTAL","FEMALE","","1980","10.92"
"AUT","","TOTAL","FEMALE","","1981","11.05"
"AUT","","TOTAL","FEMALE","","1982","12.11"
"AUT","","TOTAL","FEMALE","","1983","11.72"
"AUT","","TOTAL","FEMALE","","1984","13.18"
"AUT","","TOTAL","FEMALE","","1985","11.96"
"AUT","","TOTAL","FEMALE","","1986","11.96"
"AUT","","TOTAL","FEMALE","","1987","13.3"
"AUT","","TOTAL","FEMALE","","1988","13.89"
"AUT","","TOTAL","FEMALE","","1989","12.67"
"AUT","","TOTAL","FEMALE","","1990","12.95"
"AUT","","TOTAL","FEMALE","","1991","14.22"
"AUT","","TOTAL","FEMALE","","1992","13.78"
"AUT","","TOTAL","FEMALE","","1993","14.27"
"AUT","","TOTAL","FEMALE","","1994","15.14"
"AUT","","TOTAL","FEMALE","","1995","14.23"
"AUT","","TOTAL","FEMALE","","1996","15.33"
"AUT","","TOTAL","FEMALE","","1997","16.09"
"AUT","","TOTAL","FEMALE","","1998","16.05"
"AUT","","TOTAL","FEMALE","","1999","16.19"
"AUT","","TOTAL","FEMALE","","2000","17"
"AUT","","TOTAL","FEMALE","","2001","15.83"
"AUT","","TOTAL","FEMALE","","2002","17.52"
"AUT","","TOTAL","FEMALE","","2003","16.63"
"AUT","","TOTAL","FEMALE","","2004","17.82"
"AUT","","TOTAL","FEMALE","","2005","16.9"
"AUT","","TOTAL","FEMALE","","2006","17.13"
"AUT","","TOTAL","FEMALE","","2007","19.32"
"AUT","","TOTAL","FEMALE","","2008","19.37"
"AUT","","TOTAL","FEMALE","","2009","18.89"
"AUT","","TOTAL","FEMALE","","2010","19.69"
"AUT","","TOTAL","FEMALE","","2011","20.16"
"AUT","","TOTAL","FEMALE","","2012","20.84"
"AUT","","TOTAL","FEMALE","","2013","19.62"
"AUT","","TOTAL","FEMALE","","2014","21.91"
"AUT","","TOTAL","FEMALE","","2015","21.85"
"AUT","","TOTAL","FEMALE","","2016","22.29"
"AUT","","TOTAL","FEMALE","","2017","20.81"
"AUT","","TOTAL","FEMALE","","2018","21.58"
"AUT","","TOTAL","FEMALE","","2019","22.5"
"AUT","","TOTAL","FEMALE","","2020","21.27"
"AUT","","TOTAL","FEMALE","","2021","22.29"
"AZE","","TOTAL","FEMALE","","1981","6.3"
"AZE","","TOTAL","FEMALE","","1982","7.81"
"AZE","","TOTAL","FEMALE","","1985","6.43"
"AZE","","TOTAL","FEMALE","","1986","6.96"
"AZE","","TOTAL","FEMALE","","1987","7.82"
"AZE","","TOTAL","FEMALE","","1988","7.59"
"AZE","","TOTAL","FEMALE","","1989","6.66"
"AZE","","TOTAL","FEMALE","","1990","6.05"
"AZE","","TOTAL","FEMALE","","1991","6.46"
"AZE","","TOTAL","FEMALE","","1992","6.68"
"AZE","","TOTAL","FEMALE","","1993","5.91"
"AZE","","TOTAL","FEMALE","","1994","6.17"
"AZE","","TOTAL","FEMALE","","1995","4.31"
"AZE","","TOTAL","FEMALE","","1996","4.99"
"AZE","","TOTAL","FEMALE","","1997","5.34"
"AZE","","TOTAL","FEMALE","","1998","4.81"
"AZE","","TOTAL","FEMALE","","1999","5.42"
"AZE","","TOTAL","FEMALE","","2000","5.37"
"AZE","","TOTAL","FEMALE","","2001","5.52"
"AZE","","TOTAL","FEMALE","","2002","6.58"
"AZE","","TOTAL","FEMALE","","2003","6.35"
"AZE","","TOTAL","FEMALE","","2004","6.45"
"AZE","","TOTAL","FEMALE","","2007","3.83"
"BEL","","TOTAL","FEMALE","","1968","6.67"
"BEL","","TOTAL","FEMALE","","1969","6.7"
"BEL","","TOTAL","FEMALE","","1970","6.42"
"BEL","","TOTAL","FEMALE","","1971","6.64"
"BEL","","TOTAL","FEMALE","","1972","7.43"
"BEL","","TOTAL","FEMALE","","1973","8.36"
